direction,shift,accuracy
up-left,0,81.1300
up-left,1,80.4900
up-left,2,79.3500
up-left,3,77.4600
up-left,4,74.3100
left,0,81.1300
left,1,80.6800
left,2,79.9400
left,3,79.1200
left,4,78.0100
down-left,0,81.1300
down-left,1,79.8400
down-left,2,78.7600
down-left,3,76.8400
down-left,4,73.6700
up-right,0,81.1300
up-right,1,80.6800
up-right,2,79.2000
up-right,3,77.0300
up-right,4,73.6100
right,0,81.1300
right,1,80.4400
right,2,80.0800
right,3,78.9000
right,4,76.9900
down-right,0,81.1300
down-right,1,80.4300
down-right,2,79.1500
down-right,3,76.5300
down-right,4,72.9700
